lnd91303-074-p1s1
1	TO	PDNS1----------	AuxO
14	to	PDNS4----------	Obj
15	už	Db-------------	Adv
16	se	P7-X4----------	AuxT
17	divák	NNMS1-----A----	Sb
18	z	RR--2----------	AuxP
19	reklamy	NNFS2-----A----	Adv
20	samozřejmě	Dg-------1A----	Adv
21	nedozví	VB-S---3P-NA---	Pred
22	.	Z:-------------	AuxK

lnd91303-074-p4s2
1	Pan	NNMS1-----A----	Atr
2	poslanec	NNMS1-----A----	Atr
3	FS	NNNXX-----A---8	Atr
4	I	NNMXX-----A---8	Atr
5	.	Z:-------------	AuxG
6	Rynda	NNMS1-----A----	Sb
7	sice	Db-------------	AuxY
8	označil	VpYS---XR-AA---	Pred
9	tyto	PDIP4----------	Atr
10	produkty	NNIP4-----A----	Obj
11	za	RR--4----------	AuxP
12	zdraví	NNNS3-----A----	Obj
13	škodlivé	AAIP4----1A----	Obj
14	,	Z:-------------	AuxX
15	ale	J^-------------	Coord
16	vzápětí	Db-------------	Adv
17	zástupce	NNMS1-----A----	Atr
18	firmy	NNFS2-----A----	Atr
19	Procter	NNIXX-----A----	Atr
20	and	J^-------------	Atr
21	Gamble	NNIXX-----A----	Atr
22	pan	NNMS1-----A----	Atr
23	Homola	NNMS1-----A----	Sb
24	tomuto	PDZS3----------	Atr
25	nařčení	NNNS3-----A----	Obj
26	rezolutně	Dg-------1A----	Adv
27	oponoval	VpYS---XR-AA---	Pred
28	.	Z:-------------	AuxK

lnd91303-074-p4s3
1	Pravil	VpYS---XR-AA---	Pred
2	,	Z:-------------	AuxX
3	že	J,-------------	AuxC
4	prací	AAIP1----1A----	Atr
5	prášky	NNIP1-----A----	Sb
6	jeho	PSXXXZS3-------	Atr
7	firmy	NNFS2-----A----	Atr
8	jsou	VB-P---3P-AA---	Obj
9	stejně	Dg-------1A----	Adv
10	nezávadné	AAIP1----1N----	Pnom
11	,	Z:-------------	AuxX
12	jako	J,-------------	AuxC
13	prášky	NNIP1-----A----	ExD
14	vyráběné	AAIP1----1A----	Atr
15	kdekoliv	Db-------------	Adv
16	v	RR--6----------	AuxP
17	západní	AAFS6----1A----	Atr
18	Evropě	NNFS6-----A----	Adv
19	nebo	J^-------------	Coord
20	jinde	Db-------------	Adv
21	na	RR--6----------	AuxP
22	světě	NNIS6-----A----	Adv
23	.	Z:-------------	AuxK

lnd91303-074-p5s1
1	Pro	RR--4----------	AuxP
2	uklidnění	NNNS4-----A----	Adv
3	veřejnosti	NNFS2-----A----	Atr
4	,	Z:-------------	AuxX
5	že	J,-------------	AuxC
6	se	P7-X4----------	AuxT
7	jedná	VB-S---3P-AA---	Atr
8	skutečně	Dg-------1A----	Adv
9	o	RR--4----------	AuxP
10	nezávadné	AAIP4----1N----	Atr
11	chemické	AAIP4----1A----	Atr
12	výrobky	NNIP4-----A----	Obj
13	,	Z:-------------	AuxX
14	navrhuji	VB-S---1P-AA--1	Pred
15	jednoduchý	AAIS4----1A----	Atr
16	recept	NNIS4-----A----	Obj
17	:	Z:-------------	Apos
18	vyjádření	NNNS4-----A----	Obj
19	hlavního	AAMS2----1A----	Atr
20	hygienika	NNMS2-----A----	Atr
21	ČR	NNFXX-----A---8	Atr
22	v	RR--6----------	AuxP
23	tisku	NNIS6-----A----	Atr
24	i	J^-------------	Coord
25	v	RR--6----------	AuxP
26	televizi	NNFS6-----A----	Atr
27	,	Z:-------------	AuxX
28	že	J,-------------	AuxC
29	výrobky	NNIP1-----A----	Sb
30	této	PDFS2----------	Atr
31	firmy	NNFS2-----A----	Atr
32	jsou	VB-P---3P-AA---	Atr
33	skutečně	Dg-------1A----	Adv
34	nezávadné	AAIP1----1N----	Pnom
35	pro	RR--4----------	AuxP
36	lidské	AANS4----1A----	Atr
37	zdraví	NNNS4-----A----	Adv
38	a	J^-------------	Coord
39	jejich	PSXXXXP3-------	Atr
40	chemické	AANS1----1A----	Atr
41	složení	NNNS1-----A----	Sb
42	nezpůsobí	VB-S---3P-NA---	Atr
43	znečištění	NNNS4-----A----	Obj
44	odpadních	AAFP2----1A----	Atr
45	vod	NNFP2-----A----	Atr
46	do	RR--2----------	AuxP
47	našich	PSXP2-P1-------	Adv
48	řek	NNFP2-----A----	Atr
49	.	Z:-------------	AuxK

lnd91303-074-p5s2
1	Předpokládám	VB-S---1P-AA---	Pred
2	,	Z:-------------	AuxX
3	že	J,-------------	AuxC
4	hlavní	AAMS1----1A----	Atr
5	hygienik	NNMS1-----A----	Sb
6	je	VB-S---3P-AA---	Obj
7	osoba	NNFS1-----A----	Pnom
8	čestná	AAFS1----1A----	Atr
9	a	J^-------------	Coord
10	firmou	NNFS7-----A----	Adv
11	Procter	NNIXX-----A----	Atr
12	and	J^-------------	Atr
13	Gamble	NNIXX-----A----	Atr
14	nepodplatitelná	AAFS1----1N----	Atr
15	.	Z:-------------	AuxK

lnd91303-074-p6s1
1	MIROSLAV	NNMS1-----A----	Atr
2	SRB	NNMS1-----A----	ExD
3	,	Z:-------------	ExD
4	Pardubice	NNFP1-----A----	ExD

