mf920923-091-p1s1
1	poznámky	NNFP1-----A----	ExD
2	STV	NNFXX-----A---8	Atr
3	totiž	Db-------------	AuxY
4	z	RR--2----------	AuxP
5	celého	AAIS2----1A----	Atr
6	procesu	NNIS2-----A----	Adv
7	úplně	Dg-------1A----	Adv
8	odstranili	VpMP---XR-AA---	Pred
9	.	Z:-------------	AuxK

mf920923-091-p2s7
1	Nebude	VB-S---3F-NA---	Pred
2	to	PDNS1----------	Pnom
3	ona	PPFS1--3-------	Sb
4	,	Z:-------------	AuxX
5	která	P4FS1----------	Sb
6	podá	VB-S---3P-AA---	Atr
7	návrh	NNIS4-----A----	Obj
8	na	RR--4----------	AuxP
9	volbu	NNFS4-----A----	Atr
10	ředitele	NNMS2-----A----	Atr
11	.	Z:-------------	AuxK

mf920923-091-p2s8
1	Kdo	PKM-1----------	Sb
2	to	PDNS1----------	Pnom
3	tedy	Db-------------	AuxY
4	bude	VB-S---3F-AA---	Pred
5	?	Z:-------------	AuxK

mf920923-091-p2s9
1	Podle	RR--2----------	AuxP
2	návrhu	NNIS2-----A----	Adv
3	to	PDNS1----------	Pnom
4	může	VB-S---3P-AA---	Pred
5	být	Vf--------A----	Obj
6	kterýkoliv	PZYS1----------	Atr
7	poslanec	NNMS1-----A----	Sb
8	.	Z:-------------	AuxK

mf920923-091-p2s10
1	Jednoduše	Dg-------1A----	Adv
2	podá	VB-S---3P-AA---	Pred
3	návrh	NNIS4-----A----	Obj
4	-	Z:-------------	AuxG
5	a	J^-------------	Coord
6	plénum	NNNS1-----A----	Sb
7	o	RR--6----------	AuxP
8	něm	P5ZS6--3-------	Obj
9	bude	VB-S---3F-AA---	AuxV
10	hlasovat	Vf--------A----	Pred
11	.	Z:-------------	AuxK

mf920923-091-p2s11
1	Za	RR--2----------	AuxP
2	současného	AANS2----1A----	Atr
3	rozložení	NNNS2-----A----	Adv
4	sil	NNFP2-----A----	Atr
5	v	RR--6----------	AuxP
6	SNR	NNFXX-----A---8	Atr
7	tato	PDFS1----------	Atr
8	nepochopitelná	AAFS1----1N----	Atr
9	skutečnost	NNFS1-----A----	Sb
10	velmi	Db-------------	Adv
11	ulehčí	VB-S---3P-AA---	Pred
12	vládnímu	AANS3----1A----	Atr
13	hnutí	NNNS3-----A----	Obj
14	jeho	PSXXXZS3-------	Atr
15	ambice	NNFP4-----A----	Obj
16	v	RR--6----------	AuxP
17	oblasti	NNFS6-----A----	AtrAdv
18	televize	NNFS2-----A----	Atr
19	.	Z:-------------	AuxK

mf920923-091-p2s12
1	To	PDNS4----------	Obj
2	,	Z:-------------	AuxX
3	že	J,-------------	AuxC
4	tato	PDFS1----------	Atr
5	rarita	NNFS1-----A----	Sb
6	ústavněprávním	AAIS7----1A----	Atr
7	výborem	NNIS7-----A----	Adv
8	prošla	VpQW---XR-AA---	Atr
9	,	Z:-------------	AuxX
10	si	P7-X3----------	Obj
11	lze	VB-S---3P-AA---	Pred
12	vysvětlit	Vf--------A----	Sb
13	jen	TT-------------	AuxZ
14	chvilkovou	AAFS7----1A----	Atr
15	nepozorností	NNFS7-----N----	Adv
16	právníků	NNMP2-----A----	Atr
17	SDL	NNFXX-----A---8	Atr
18	,	Z:-------------	AuxX
19	kteří	P4MP1----------	Sb
20	dosud	Db-------------	Adv
21	téměř	Db-------------	AuxZ
22	vždy	Db-------------	Adv
23	podobným	AAIP3----1A----	Atr
24	lapsům	NNIP3-----A----	Obj
25	v	RR--6----------	AuxP
26	legislativě	NNFS6-----A----	AtrAtr
27	zabránili	VpMP---XR-AA---	Atr
28	.	Z:-------------	AuxK

