lnd94103-125-p1s1
1	Kolik	C?--4----------	Obj
46	v	RR--6----------	AuxP
47	V	C}-------------	ExD
48	.	Z:-------------	AuxG
49	je	VB-S---3P-AA---	Pred
50	86407	C=-------------	Sb
51	výher	NNFP2-----A----	Atr
52	po	RR--6----------	AuxP
53	35	C=-------------	Atr
54	Kč	NNFXX-----A----	Atr
55	.	Z:-------------	AuxK

lnd94103-125-p1s6
1	Ve	RV--6----------	AuxP
2	druhém	CrIS6----------	Atr
3	tahu	NNIS6-----A----	Adv
4	18	C=-------------	Atr
5	.	Z:-------------	AuxG
6	týdne	NNIS2-----A----	Atr
7	Sportky	NNFS2-----A----	Atr
8	v	RR--6----------	AuxP
9	I	C}-------------	Atr
10	.	Z:-------------	AuxG
11	pořadí	NNNS6-----A----	Adv
12	je	VB-S---3P-AA---	Pred
13	1	C=-------------	Atr
14	výhra	NNFS1-----A----	Sb
15	1998352	C=-------------	Atr
16	Kč	NNFXX-----A----	Atr
17	,	Z:-------------	AuxX
18	ve	RV--6----------	AuxP
19	II	C}-------------	ExD
20	.	Z:-------------	AuxG
21	není	VB-S---3P-NA---	Pred
22	žádná	PWFS1----------	Atr
23	výhra	NNFS1-----A----	Sb
24	,	Z:-------------	AuxX
25	ve	RV--6----------	AuxP
26	III	C}-------------	ExD
27	.	Z:-------------	AuxG
28	je	VB-S---3P-AA---	Pred
29	73	C=-------------	Sb
30	výher	NNFP2-----A----	Atr
31	po	RR--6----------	AuxP
32	9759	C=-------------	Atr
33	Kč	NNFXX-----A----	Atr
34	,	Z:-------------	AuxX
35	ve	RV--6----------	AuxP
36	IV	C}-------------	ExD
37	.	Z:-------------	AuxG
38	je	VB-S---3P-AA---	Pred
39	4630	C=-------------	Sb
40	výher	NNFP2-----A----	Atr
41	po	RR--6----------	AuxP
42	307	C=-------------	Atr
43	Kč	NNFXX-----A----	Atr
44	,	Z:-------------	Coord
45	v	RR--6----------	AuxP
46	V	C}-------------	ExD
47	.	Z:-------------	AuxG
48	je	VB-S---3P-AA---	Pred
49	80873	C=-------------	Sb
50	výher	NNFP2-----A----	Atr
51	po	RR--6----------	AuxP
52	37	C=-------------	Atr
53	Kč	NNFXX-----A----	Atr
54	.	Z:-------------	AuxK

lnd94103-125-p1s7
1	V	RR--6----------	AuxP
2	sázce	NNFS6-----A----	Adv
3	5	C=-------------	Atr
4	ze	RV--2----------	AuxP
5	40	C=-------------	Atr
6	v	RR--6----------	AuxP
7	I	C}-------------	ExD
8	.	Z:-------------	AuxG
9	pořadí	NNNS6-----A----	Adv
10	není	VB-S---3P-NA---	Pred
11	žádná	PWFS1----------	Atr
12	výhra	NNFS1-----A----	Sb
13	,	Z:-------------	AuxX
14	ve	RV--6----------	AuxP
15	II	C}-------------	ExD
16	.	Z:-------------	AuxG
17	je	VB-S---3P-AA---	Pred
18	27	C=-------------	Sb
19	výher	NNFP2-----A----	Atr
20	po	RR--6----------	AuxP
21	7440	C=-------------	Atr
22	Kč	NNFXX-----A----	Atr
23	,	Z:-------------	Coord
24	ve	RV--6----------	AuxP
25	III	C}-------------	ExD
26	.	Z:-------------	AuxG
27	je	VB-S---3P-AA---	Pred
28	1672	C=-------------	Sb
29	výher	NNFP2-----A----	Atr
30	po	RR--6----------	AuxP
31	100	C=-------------	Atr
32	Kč	NNFXX-----A----	Atr
33	.	Z:-------------	AuxK

lnd94103-125-p1s8
1	V	RR--6----------	AuxP
2	18	C=-------------	Atr
3	.	Z:-------------	AuxG
4	týdnu	NNIS6-----A----	Adv
5	Šance	NNFS2-----A----	Atr
6	v	RR--6----------	AuxP
7	I	C}-------------	Atr
8	.	Z:-------------	AuxG
9	pořadí	NNNS6-----A----	Adv
10	není	VB-S---3P-NA---	Pred
11	žádná	PWFS1----------	Atr
12	výhra	NNFS1-----A----	Sb
13	,	Z:-------------	AuxX
14	ve	RV--6----------	AuxP
15	II	C}-------------	ExD
16	.	Z:-------------	AuxG
17	jsou	VB-P---3P-AA---	Pred
18	2	C=-------------	Atr
19	výhry	NNFP1-----A----	Sb
20	po	RR--6----------	AuxP
21	100000	C=-------------	Atr
22	Kč	NNFXX-----A----	Atr
23	,	Z:-------------	AuxX
24	ve	RV--6----------	AuxP
25	III	C}-------------	ExD
26	.	Z:-------------	AuxG
27	je	VB-S---3P-AA---	Pred
28	28	C=-------------	Sb
29	výher	NNFP2-----A----	Atr
30	po	RR--6----------	AuxP
31	10000	C=-------------	Atr
32	Kč	NNFXX-----A----	Atr
33	,	Z:-------------	AuxX
34	ve	RV--6----------	AuxP
35	IV	C}-------------	ExD
36	.	Z:-------------	AuxG
37	je	VB-S---3P-AA---	Pred
38	280	C=-------------	Sb
39	výher	NNFP2-----A----	Atr
40	po	RR--6----------	AuxP
41	1000	C=-------------	Atr
42	Kč	NNFXX-----A----	Atr
43	,	Z:-------------	Coord
44	v	RR--6----------	AuxP
45	V	C}-------------	ExD
46	.	Z:-------------	AuxG
47	je	VB-S---3P-AA---	Pred
48	2886	C=-------------	Sb
49	výher	NNFP2-----A----	Atr
50	po	RR--6----------	AuxP
51	100	C=-------------	Atr
52	Kč	NNFXX-----A----	Atr
53	.	Z:-------------	AuxK

lnd94103-125-p1s10E
1	Cyklistika	NNFS1-----A----	ExD

lnd94103-125-p1s10D
1	Kolem	RR--2----------	AuxP
2	Španělska	NNNS2-----A----	ExD
3	-	Z:-------------	Apos
4	8	C=-------------	Atr
5	.	Z:-------------	AuxG
6	etapa	NNFS1-----A----	ExD
7	:	Z:-------------	AuxK

lnd94103-125-p1s10B
1	1	C=-------------	ExD
2	.	Z:-------------	AuxG

lnd94103-125-p1s19C
1	Ad	RR--1----------	AuxP
2	Fotbal	NNIS1-----A----	ExD

lnd94103-125-p1s19B
1	Dohrávka	NNFS1-----A----	ExD
2	anglické	AAFS2----1A----	Atr
3	ligy	NNFS2-----A----	Atr
4	:	Z:-------------	Apos
5	Coventry	NNFXX-----A----	Atr
6	-	Z:-------------	Coord
7	Blackburn	NNIS1-----A----	Atr
8	2	C=-------------	Atr
9	:	Z:-------------	Coord
10	1	C=-------------	Atr
11	,	Z:-------------	Coord
12	mistrem	NNMS7-----A----	Obj
13	se	P7-X4----------	AuxT
14	stal	VpYS---XR-AA---	Pred
15	Manchester	NNIS1-----A----	Sb
16	United	AAXXX----1A----	Atr
17	.	Z:-------------	AuxK

