ln95046-057-p1s1
1	Krátce	Dg-------1A----	ExD
15	vlámské	AAFS2----1A----	Atr
16	Socialistické	AAFS2----1A----	Atr
17	strany	NNFS2-----A----	Atr
18	v	RR--6----------	AuxP
19	lednu	NNIS6-----A----	AtrAdv
20	1989	C=-------------	Atr
21	,	Z:-------------	AuxX
22	během	RR--2----------	AuxP
23	níž	P9FS2----------	Adv
24	padly	VpTP---XR-AA--1	Atr
25	narážky	NNFP1-----A----	Sb
26	na	RR--4----------	AuxP
27	případnou	AAFS4----1A----	Atr
28	provizi	NNFS4-----A----	Atr
29	od	RR--2----------	AuxP
30	firmy	NNFS2-----A----	Atr
31	Agusta	NNFS1-----A----	Atr
32	.	Z:-------------	AuxK

ln95046-057-p4s3
1	Vedoucí	AGMP1-----A----	Atr
2	představitelé	NNMP1-----A----	Sb
3	strany	NNFS2-----A----	Atr
4	podle	RR--2----------	AuxP
5	něj	P5ZS2--3-------	Adv
6	tehdy	Db-------------	Adv
7	tuto	PDFS4----------	Atr
8	možnost	NNFS4-----A----	Obj
9	odmítli	VpMP---XR-AA--1	Pred
10	.	Z:-------------	AuxK

ln95046-057-p5s1
1	Mzdová	AAFS1----1A----	Atr
2	stávka	NNFS1-----A----	Sb
3	v	RR--6----------	AuxP
4	bavorském	AAIS6----1A----	Atr
5	kovoprůmyslu	NNIS6-----A----	Atr
6	může	VB-S---3P-AA---	Pred
7	zítra	Db-------------	Adv
8	začít	Vf--------A----	Obj
9	.	Z:-------------	AuxK

ln95046-057-p5s2
1	Podle	RR--2----------	AuxP
2	sdělení	NNNS2-----A----	Adv
3	odborového	AAIS2----1A----	Atr
4	svazu	NNIS2-----A----	Atr
5	IG	AAXXX----1A---8	Atr
6	Metall	NNIS1-----A----	Atr
7	se	P7-X4----------	AuxT
8	pro	RR--4----------	AuxP
9	ni	P5FS4--3-------	Adv
10	ve	RV--6----------	AuxP
11	více	Dg-------2A----	Adv
12	než	J,-------------	AuxC
13	600	C=-------------	Adv
14	bavorských	AAIP6----1A----	Atr
15	podnicích	NNIP6-----A----	Atr
16	vyslovilo	VpNS---XR-AA---	Pred
17	88.36	C=-------------	Sb
18	procenta	NNNS2-----A----	Atr
19	odborářů	NNMP2-----A----	Atr
20	.	Z:-------------	AuxK

