mf920902-028-p1s1
1	Nehody	NNFP1-----A----	ExD
2	nezjistila	VpQW---XR-NA---	Pred
3	na	RR--6----------	AuxP
4	vozidle	NNNS6-----A----	Adv
5	žádnou	PWFS4----------	Atr
6	technickou	AAFS4----1A----	Atr
7	závadu	NNFS4-----A----	Obj
8	,	Z:-------------	AuxX
9	vyjma	RR--2----------	AuxP
10	defektu	NNIS2-----A----	Adv
11	na	RR--6----------	AuxP
12	přední	AAFS6----1A----	Atr
13	pneumatice	NNFS6-----A----	Atr
14	.	Z:-------------	AuxK

mf920902-028-p2s6
1	J	NNMXX-----A---8	Atr
2	.	Z:-------------	AuxG
3	Bakšay	NNMS1-----A----	Sb
4	pak	Db-------------	Adv
5	usoudil	VpYS---XR-AA---	Pred
6	,	Z:-------------	AuxX
7	že	J,-------------	AuxC
8	pravděpodobně	Dg-------1A----	AuxY
9	"	Z:-------------	AuxG
10	píchl	VpYS---XR-AA--1	Obj
11	"	Z:-------------	AuxG
12	,	Z:-------------	AuxX
13	a	J^-------------	Coord
14	v	RR--6----------	AuxP
15	důsledku	NNIS6-----A----	AuxP
16	toho	PDZS2----------	Adv
17	dostal	VpYS---XR-AA---	Obj
18	na	RR--6----------	AuxP
19	mokré	AAFS6----1A----	Atr
20	vozovce	NNFS6-----A----	Adv
21	smyk	NNIS4-----A----	Obj
22	.	Z:-------------	AuxK

mf920902-028-p2s7
1	V	RR--4----------	AuxP
2	pátek	NNIS4-----A----	Adv
3	28	C=-------------	Atr
4	.	Z:-------------	AuxG
5	června	NNIS2-----A----	Adv
6	téhož	PDZS2----------	Atr
7	roku	NNIS2-----A---1	Atr
8	havaroval	VpYS---XR-AA---	Pred
9	v	RR--6----------	AuxP
10	Praze	NNFS6-----A----	Adv
11	ministr	NNMS1-----A----	Atr
12	kontroly	NNFS2-----A----	Atr
13	ČR	NNFXX-----A---8	Atr
14	Igor	NNMS1-----A----	Atr
15	Němec	NNMS1-----A----	Sb
16	.	Z:-------------	AuxK

mf920902-028-p2s8
1	Poté	Db-------------	Adv
2	,	Z:-------------	AuxX
3	co	J,-------------	AuxC
4	byl	VpYS---XR-AA---	AuxV
5	oslněn	VsYS---XX-AP---	Adv
6	protijedoucím	AANS7----1A----	Atr
7	vozidlem	NNNS7-----A----	Obj
8	,	Z:-------------	AuxX
9	nezvládl	VpYS---XR-NA--1	Pred
10	v	RR--6----------	AuxP
11	zatáčce	NNFS6-----A----	Adv
12	na	RR--6----------	AuxP
13	mokré	AAFS6----1A----	Atr
14	vozovce	NNFS6-----A----	Adv
15	svůj	P8IS4----------	Atr
16	vůz	NNIS4-----A----	Obj
17	Lada	NNFS1-----A----	Atr
18	a	J^-------------	Coord
19	vybočil	VpYS---XR-AA---	Pred
20	ze	RV--2----------	AuxP
21	silnice	NNFS2-----A----	Adv
22	.	Z:-------------	AuxK

mf920902-028-p2s9
1	Auto	NNNS1-----A----	Sb
2	bylo	VpNS---XR-AA---	AuxV
3	po	RR--6----------	AuxP
4	nárazu	NNIS6-----A---1	Adv
5	zcela	Db-------------	Adv
6	demolováno	VsNS---XX-AP---	Pred
7	.	Z:-------------	AuxK

mf920902-028-p2s10
1	Ministr	NNMS1-----A----	Sb
2	utrpěl	VpYS---XR-AA---	Pred
3	prasklinu	NNFS4-----A----	Obj
4	hrudního	AAIS2----1A----	Atr
5	obratle	NNIS2-----A----	Atr
6	a	J^-------------	Coord
7	řadu	NNFS4-----A----	Obj
8	dalších	AANP2----1A----	Atr
9	lehčích	AANP2----2A----	Atr
10	poranění	NNNP2-----A----	Atr
11	.	Z:-------------	AuxK

mf920902-028-p2s11
1	Bezprostředně	Dg-------1A----	Adv
2	po	RR--6----------	AuxP
3	havárii	NNFS6-----A----	Adv
4	ušel	VpYS---XR-AA---	Pred
5	v	RR--6----------	AuxP
6	šoku	NNIS6-----A----	Adv
7	ještě	Db-------------	AuxZ
8	téměř	Db-------------	AuxZ
9	sedm	Cn-S4----------	Obj
10	kilometrů	NNIP2-----A----	Atr
11	k	RR--3----------	AuxP
12	bydlišti	NNNS3-----A----	Atr
13	svého	P8ZS2----------	Atr
14	bratra	NNMS2-----A----	Atr
15	,	Z:-------------	AuxX
16	který	P4YS1----------	Sb
17	mu	PHZS3--3-------	Obj
18	poskytl	VpYS---XR-AA--1	Atr
19	lékařskou	AAFS4----1A----	Atr
20	pomoc	NNFS4-----A----	Obj
21	.	Z:-------------	AuxK

mf920902-028-p2s12
1	Později	Dg-------2A----	Adv
2	byl	VpYS---XR-AA---	AuxV
3	I	NNMXX-----A---8	Atr
4	.	Z:-------------	AuxG
5	Němec	NNMS1-----A----	Sb
6	převezen	VsYS---XX-AP---	Pred
7	do	RR--2----------	AuxP
8	nemocnice	NNFS2-----A----	Adv
9	.	Z:-------------	AuxK

